Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
4-B00-15661-B,0.695022004686664,1.26040188954642,1.09109592700554,2.39547773214466,0,0.0714359039334665,0.682672911269329,0.696554371166753,0,0.273028680660622,0,0.472693302395069,0,2.63350742182861,1.92577873229402,0.885193116417136,0,0,0,2.13621600316821,0,0,0,0.339690663473848,0.948213674796528,15.2190779965165
4-B04-23636-B,1.68874452985914,0.986598471079401,0.0883104609689106,0.256914658687502,0,0,1.83175995224847,0.342463019904047,0,0,0.0424259654478915,0.124697754225589,0,0.967973614206096,0.824640992421071,0.634195593195339,0,0,0.218962262740901,0,0.0368091625828976,0.0677812827467987,0.02,0.224574913916827,0.996279344503021,8.11227772031405
4-B05-15288-B,0.469890508983547,1.00440432052546,0.283708214252046,1.35170851950417,0,0,0.343895967826569,0.77456491107341,0.27072357777781,0.208701883518802,0,0.370862804510608,0,1.95786993844047,0.908703988787279,0.27724220549685,0,0,0,0.207385520137041,0.374809904253833,0,0,0.26998133781513,0.980268896476899,8.8044722650879
4-B06-00420,0.5744758716649,0.728212610500926,0.484065518351499,4.65160425085558,0,0,1.70202717385085,0.261148531209419,0.296440233724903,0.759149497164526,0,0.160432562698183,0,1.13254413231868,1.2541569670113,0.747378470551476,0.0952151669347513,0,0,1.20026085881722,0,0,0,0.36467491201673,0.938465979840556,14.0471118456542
4-B16-11432,0.576633988130541,1.8291454845291,1.17651127306979,1.26388177130668,0,0,0,0.140015787044409,0.192809949356194,0.0470148213910298,0,0.173552742004772,0,0.549557935541049,0.717006734586966,0.610051683219644,0.563053169231732,0,0,0.941891393230253,0,0.0542169493920902,0,0.277932481074221,0.967022275111838,8.83534368203424
4-B20-21840-A2,1.92725720370718,0,0.316972576228468,0.922272325659238,0,0,0.654662829774928,0.121121470057373,0,0.0789720845516854,0,0.245603992172175,0,0,0.343962888974485,0.129281216890145,0.472388765899306,0,0,2.62797596044755,0.220233385439819,0.0548198101867166,0.09,0.135340157332562,1.05417931296478,8.11552450998906
4-B19-09868-A4,0.885705543850077,0.582055382135845,0.91591282212356,1.19209966318391,0,0,0.461100185164526,0.388288731213312,0,0.44315226265928,0,0.514063589864917,0,0,0.831709799598816,0.0407876981176985,1.12317734258418,0,0,0.792508918028325,0,0.0122861885817711,0.05,0.199509251540764,1.00695037701506,8.18284812710622
12-B17-28608-A1,0.124785230722109,3.55179849666485,0.00676221396792682,0.0903456033083937,0,0,0,0.17707953214353,0.0500012799408511,0,0,0.15215453983403,0.0293111470847844,1.09307659121459,0.481085863004411,0.244422095555948,0,0,0,0.240538504651496,0,0,0,0.475529379717746,0.880495599755928,6.24136109809292
3-B10-97,0.637232331624714,0.824740808661575,0.579765902532109,0.378171162667806,0,0,1.39419847084851,0.4408560155612,0,0,0.202393887105757,0,0.0718650080909267,0,0.218725296255105,0.0566617279988952,0.119201289788644,0,0,0.149463847940864,0.150966294412369,0.0376312099411138,0,0.381959147492719,0.923858954927153,5.26187325342959
3-B10-33571,1.02727445818547,1.39741078714315,0.769020882480468,2.58747635714767,0,0,3.28526475428899,0,0,0,0.0311026769447596,0.184649073374214,0.00257547843791986,0.0328769350233607,0.608302471177054,0.56269324081226,0.0607522086567509,0,0,0,0,0.0257805639541255,0,0.29380518447924,0.96788512750501,10.5751798876262
3-B10-35826,0.740069177320245,2.92240773803196,0.183552631213682,1.4710393002125,0,0,0.0382460324371004,0.677971795889744,0.155846560998986,0,0,0.747117005244493,0,1.43501232432786,1.12829604087663,0.717639314182974,0,0,0,0,0,0,0,0.453037988777293,0.891073343086934,10.2171979207362
