"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",55.5198405589338,0.583384848065048,0.545418329594165,1.06960990566476,0.28479493456976,0.972353478942302
"A2M",4499.95769884706,-0.459205153163909,0.379342412395247,-1.21052942713258,0.226075806010677,0.972353478942302
"A4GALT",243.12008691457,1.6149309401151,0.757688556943368,2.13139148706426,0.0330569036152632,0.73141774454399
"AAAS",1021.6883620856,0.0582256331514211,0.197940572269477,0.294157142640532,0.768637827780038,0.994162259543019
"AACS",571.029172217842,0.140713873577626,0.280851901038308,0.50102517753096,0.616353403630293,0.98551024933325
"AADAT",75.2069892623179,-0.656865533548706,0.678506779548365,-0.968104598727717,0.332992133413248,0.972353478942302
"AAGAB",1390.33143602155,-0.332705215854033,0.215632833114981,-1.54292466062729,0.122849056605794,0.931629493488528
"AAK1",554.456937352562,0.175400000217759,0.353752799631664,0.495826465261588,0.620016850990143,0.98551024933325
"AAMDC",268.603254094419,-0.269673095307208,0.354699156115082,-0.760286825209453,0.44708315528218,0.972353478942302
"AAMP",814.77520292504,-0.0274257418991981,0.150826785137421,-0.181836017218096,0.855711418035637,0.995286431471263
"AAR2",284.893273174232,0.466875084981631,0.291235031388732,1.6030869732785,0.108915453611537,0.914198210306347
"AARS1",1149.07648428259,-0.116243236508044,0.207765947218569,-0.559491283649847,0.57582647825105,0.981678171782787
"AARS2",281.29736492855,1.12320236356329,0.3669288949525,3.0610899795959,0.00220532809422174,0.211375038697181
"AARSD1",687.393404461636,0.00752836419372975,0.253735546622404,0.0296701203041648,0.976330141969028,0.999830997620764
"AASDH",358.502242291416,-0.0261200343520319,0.235587445696341,-0.110871928148918,0.911717906421903,0.998324109652294
"AASDHPPT",1902.1923973742,-0.268803205831749,0.203952686801272,-1.31796844673916,0.187514210774827,0.972353478942302
"AASS",287.280887960166,-0.709173253159661,0.666838571911397,-1.06348565159768,0.287561768674998,0.972353478942302
"AATF",3210.4982070175,-0.024926617757759,0.262432444062794,-0.0949829882763834,0.92432833921227,0.999102687518186
"AATK",1019.02038893923,-1.29576900502686,0.93097991942629,-1.39183346277261,0.163972834268955,0.963846520054005
"ABAT",474.696833732404,0.118132129990414,0.421496808815158,0.280268147990224,0.779271786101242,0.994162259543019
"ABCA1",1640.00238348714,-0.0959953296168666,0.423440022738656,-0.226703486826786,0.820654315610863,0.995034358216532
"ABCA10",94.9204459196407,0.696570207098993,0.51414439686915,1.35481435048347,0.17547671329375,0.972353478942302
"ABCA2",3658.09309798934,-0.98800966149948,0.660310561792466,-1.49628026366479,0.134580636019529,0.940992001881462
"ABCA3",125.828381224857,-0.398456392484722,0.604236396216483,-0.659437920290331,0.509614598304576,0.972353478942302
"ABCA5",443.197130725702,0.665551339837156,0.352700604521745,1.88701502437068,0.0591583048704026,0.827896424859642
"ABCA6",1370.33585841663,-0.624310592154474,0.690269124666284,-0.904445193686306,0.365759383210417,0.972353478942302
"ABCA7",617.914127004774,-0.387647550599606,0.425679882486108,-0.910655087423016,0.362477135322513,0.972353478942302
"ABCA8",397.932057444512,-1.14977305656904,0.771548427135555,-1.49021502232553,0.136167707694671,0.941051672076188
"ABCA9",104.955760474864,-1.24005748884189,0.714267971336586,-1.73612360991269,0.0825419805601444,0.874855578282075
"ABCB1",153.953367212042,-0.334632873432505,0.406673228260667,-0.822854444743567,0.410590771218689,0.972353478942302
"ABCB10",97.1458869373645,0.934931317110906,0.460413810692985,2.03063265131797,0.0422922729499922,0.770685474321889
"ABCB4",111.009450032897,-0.176329476831213,0.590642735223536,-0.298538297884048,0.765292350473268,0.994162259543019
"ABCB6",158.977445045843,-0.0360218140982446,0.485480220108364,-0.0741983145888089,0.940852586919565,0.999830997620764
"ABCB7",853.935336422281,0.37690490568115,0.245859588805604,1.53300876940439,0.125273694222826,0.93210864600837
"ABCB8",338.95477719463,0.207145203241445,0.246112439957928,0.841668967553433,0.399973273143166,0.972353478942302
"ABCC1",1666.34252514264,0.251157468698914,0.236128548474996,1.06364719692295,0.287488553139416,0.972353478942302
"ABCC10",585.182204897991,0.313627418683033,0.208695515244765,1.50279903387095,0.132890875155248,0.940992001881462
"ABCC3",281.495337386084,0.106048307861151,0.568642027525384,0.186493967606741,0.852057409030541,0.995286431471263
"ABCC4",260.991631679344,0.71177226618118,0.443877361334372,1.60353360676352,0.10881689562886,0.914198210306347
"ABCC5",792.915980663182,-0.224665764751472,0.443223840867118,-0.50689007232088,0.612231951839919,0.98551024933325
"ABCC6",109.826048366248,2.87953488567897,0.719043181766767,4.00467587858025,6.21025719323e-05,0.021569445155533
"ABCC9",143.88782639287,-0.708475817896634,0.450396561984666,-1.57300449802446,0.115717776695181,0.919474448137654
"ABCD1",370.163780904423,-0.150786147866011,0.398586684971302,-0.378302019488854,0.705206245374126,0.990588064151013
"ABCD2",125.804982555831,-0.343777695985723,0.551752604846751,-0.623064926138785,0.533241857040248,0.973491183999765
"ABCD3",708.954484203342,-0.34581689522155,0.302912712442461,-1.14163876594396,0.253604203350247,0.972353478942302
"ABCE1",1823.99145553499,-0.395032292040505,0.308928896853471,-1.27871589891403,0.200997118886159,0.972353478942302
"ABCF1",2569.71674025931,-0.259469938117117,0.23274899092791,-1.11480585622596,0.26493362638698,0.972353478942302
"ABCF2",588.547238124104,0.213550125952544,0.25741537446723,0.829593517459968,0.406768643164923,0.972353478942302
"ABCF2_ABCF2-H2BE1",1250.03816631395,-0.202846439669378,0.292590543067384,-0.693277498113335,0.488135421511035,0.972353478942302
"ABCF3",274.820241566588,0.0528667861768496,0.277383647061767,0.190590853991754,0.848846156300968,0.995286431471263
"ABCG1",397.024887943128,0.0603541151441111,0.499336467661688,0.120868630778641,0.903795088980587,0.998095215053155
"ABCG2",337.862677653453,-0.830706913746041,0.472506956426243,-1.75808398680309,0.0787332199986048,0.870620628258811
"ABHD10",630.519256163467,0.0215638124531674,0.201012684024208,0.107275879419482,0.914570119536107,0.99832954742715
"ABHD11",152.824415664531,0.575238658048709,0.252097848303076,2.28180709165415,0.022500731920657,0.650505291803404
"ABHD12",1345.16814952924,-0.210568990555156,0.289053458268871,-0.728477672663891,0.466321231404038,0.972353478942302
"ABHD12B",56.95698778639,-0.413946999255919,0.969405267427461,-0.42701129565184,0.669371100379655,0.989472194570279
"ABHD13",786.152599113915,-0.13892776214373,0.192594386161191,-0.721348970304126,0.470694834609166,0.972353478942302
"ABHD14A",181.815587293287,0.442014309211315,0.365547596432683,1.20918401194498,0.226592158667498,0.972353478942302
"ABHD14A_ABHD14A-ACY1",164.18785504776,0.0520223522256164,0.325539829956928,0.159803340293258,0.873035992726383,0.996648734010064
"ABHD14B",1479.41756182163,-0.0685536833240273,0.360534143140127,-0.190144774436475,0.849195685113721,0.995286431471263
"ABHD15",272.029978575661,0.368803577849502,0.435089166467131,0.847650565156886,0.396632604933466,0.972353478942302
"ABHD16A",574.162107267754,-0.128195204110409,0.220614568732224,-0.581082223386656,0.561185038896619,0.979954915713408
"ABHD17B",872.527639951048,-0.230138569664519,0.268282125048714,-0.857822971331881,0.390990223307552,0.972353478942302
"ABHD17C",515.704269895667,0.0605495642751177,0.477832020218831,0.126717259859203,0.899164184571071,0.998095215053155
"ABHD18",344.647143263372,-0.0859539636702777,0.353764174090141,-0.242969667268727,0.808028895448743,0.994325223337427
"ABHD2",601.163925714007,-0.00338640930151358,0.240965630541004,-0.0140534950727645,0.988787302343321,0.999914762954645
"ABHD3",862.162443716353,0.570371852554361,0.3249256449135,1.75539192268496,0.0791922927351774,0.870620628258811
"ABHD4",336.536672065598,0.210445726354056,0.384374024904834,0.547502465615774,0.584033577017752,0.981678171782787
"ABHD5",774.381933872345,-0.302791406573604,0.225028201810994,-1.34557092905148,0.178440932310619,0.972353478942302
"ABHD6",381.982184405983,-0.327450250599776,0.354670991922748,-0.923250725481093,0.355876559792125,0.972353478942302
"ABHD8",158.038055113193,0.48690834984146,0.404384687508095,1.20407217405262,0.22856168381488,0.972353478942302
"ABI1",2885.47064300143,-0.082820294567,0.256537702139947,-0.322838685605049,0.746817413518078,0.993561520906628
"ABI2",424.527829293742,-0.251234351224179,0.278657305190172,-0.901588964454824,0.367275255385524,0.972353478942302
"ABI3",880.925413891799,0.0512527703389155,0.364998025885962,0.140419308336009,0.888328703145622,0.998095215053155
"ABI3BP",315.5126197665,1.64654023550262,0.813957364843614,2.02288265530833,0.0430852471921548,0.770685474321889
"ABITRAM",307.069289470886,-0.311991163884595,0.195910789183402,-1.59251649786641,0.11126869916191,0.917244025780019
"ABL1",1110.16148506248,-0.0414025202703351,0.309996362938715,-0.133558083965393,0.893752031295033,0.998095215053155
"ABL2",180.462341891165,0.0798036336806739,0.217153249581974,0.367499145577135,0.713246729052497,0.990588064151013
"ABLIM1",375.402893583146,0.50611798437817,0.526910023014353,0.960539679019132,0.336783670952947,0.972353478942302
"ABLIM3",277.156504840702,-0.704886916684604,0.466222048935508,-1.51191244235236,0.130556138326599,0.935834208387591
"ABR",1381.747995426,0.169113633180094,0.297054208940308,0.569302262315618,0.56915103179892,0.981678171782787
"ABRACL",2715.84352243733,0.119066805196567,0.357281454108636,0.333257726723098,0.738939746415776,0.993044697324222
"ABRAXAS1",138.83024425043,0.298774044376843,0.390561729901193,0.764985459411062,0.444280203160907,0.972353478942302
"ABRAXAS2",539.192457820118,-0.33325585339958,0.288386841856656,-1.1555861954521,0.247850457202223,0.972353478942302
"ABT1",119.995646187757,0.462200344921009,0.295105958251826,1.56621827515456,0.117297525755627,0.923254152587366
"ABTB1",393.596121021544,0.00653614485636275,0.361182457335878,0.0180965180440215,0.985561855696144,0.999914762954645
"ABTB2",149.98384848288,0.619498197574776,0.576841853509663,1.07394807399217,0.282845955118793,0.972353478942302
"ACAA1",774.623439241657,-0.116549927321346,0.208581527108451,-0.558773966885126,0.576315991496693,0.981678171782787
"ACAA2",2090.63047322052,-0.184982020841648,0.359148874277385,-0.515056663379039,0.606513424733523,0.98551024933325
"ACACA",902.29161197479,0.436809924325452,0.270031398865976,1.61762641737175,0.105743132359631,0.911966918077687
"ACACB",242.70223413814,0.0320924359942964,0.284437562152355,0.112827700221628,0.910167156961235,0.998324109652294
"ACAD10",197.319262506603,0.391912581754355,0.325691839129781,1.20332330954779,0.228851232252207,0.972353478942302
"ACAD11",302.354612088488,0.402393403537879,0.277385456447954,1.45066510944989,0.146873135465496,0.947629513970282
"ACAD8",202.075683319215,0.0569221509706737,0.260544240591928,0.218474032822037,0.827059788460825,0.995286431471263
"ACAD9",1340.64454141365,-0.132216056521828,0.211680139753479,-0.62460302924878,0.532231631026581,0.973095167796254
"ACADM",612.828791696058,0.416295209152795,0.287619005389714,1.44738421784308,0.147789343452022,0.947629513970282
"ACADS",317.571982688004,0.0874842270853881,0.218173436440728,0.400984778498253,0.688431330704045,0.990458953426475
"ACADSB",420.115254944055,-0.484402431272316,0.301804035882217,-1.60502304038558,0.108488734238769,0.914198210306347
"ACADVL",1583.0525990569,-0.482663630110749,0.291789960432141,-1.65414748813127,0.0980975493136022,0.898821266142025
"ACAP1",1405.12365245018,-0.0848472999617563,0.350466535688215,-0.242098150099098,0.80870411158072,0.994325223337427
"ACAP2",2380.49107653566,0.0422747262536091,0.227404550991643,0.185900968425045,0.852522422747375,0.995286431471263
"ACAP3",823.942219629674,-0.143214747124216,0.321292352642338,-0.445745894498902,0.655780808726008,0.987838897732484
"ACAT1",857.576742348681,0.078698679935705,0.298219521276167,0.263895132011918,0.791860726817469,0.994325223337427
"ACAT2",577.547114685338,0.434646608485709,0.386132325701229,1.12564159889068,0.260317252748068,0.972353478942302
"ACBD3",1014.94853278362,0.0290072418771893,0.288364984366828,0.100592108784919,0.919874261208891,0.99832954742715
"ACBD4",199.11784320774,0.438469750244339,0.348151064887089,1.25942383771407,0.207877283817247,0.972353478942302
"ACBD5",1462.10549994901,-0.308291035431244,0.278431910611022,-1.10724031148116,0.268190043067511,0.972353478942302
"ACBD6",401.299704187393,-0.0342595778049423,0.199945297332789,-0.171344754100021,0.863952692079241,0.996103440240072
