"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"USP17L_Family",666.248765078142,5.5248276614812,0.95703921419425,5.772833108132,7.79496393044487e-09,3.21256446786735e-05
"DUX4",1890.90560922995,5.46624489087676,0.943823701418003,5.79159527638929,6.97209890188858e-09,3.21256446786735e-05
"LOC101929601_LOC101929627",1069.58600300446,5.46519601133231,0.882091412214929,6.19572522263789,5.80172651321537e-10,7.17325466093948e-06
"LOC112268390_95",253.134061557568,5.44762160427115,1.11384936267632,4.89080641136411,1.0042369592524e-06,0.00177376939488524
"USP17L_Family_T5",693.326069571283,4.91555836465899,1.25357179453037,3.92124199515875,8.80937377475983e-05,0.0499642548770652
"USP17L1",417.297481010213,4.88163332148377,1.09616374005833,4.45337967594514,8.45290869002814e-06,0.00950106936759163
"USP17L_Family_T4",481.098445065753,4.87366887107937,1.15158519606073,4.23213921796745,2.31479045405255e-05,0.0178875432336911
"DUX1_DUX5",1072.03921025091,4.84380522392539,0.953292836813505,5.08113041121382,3.75195417656079e-07,0.00115972903597494
"USP17L_Family_T3",810.503975584649,4.81696600591972,1.20590524166678,3.99448135681192,6.48360226238914e-05,0.0400816291860896
"USP17L_Family_T2",877.895436776657,4.63581952194871,1.08230078988585,4.28330050691143,1.84141201708889e-05,0.0152387410285393
"MBD3L_Family",70.8055316705745,4.63379122086658,0.937693167893118,4.94169242085676,7.74473286163335e-07,0.00167347578977825
"LOC112268387",143.880070862516,4.32572134226794,1.1037721862465,3.91903455818908,8.8904368108657e-05,0.0499642548770652
"LOC_Multi_3",283.209113771667,4.02965570097445,0.837479270176368,4.8116482932477,1.49690604412202e-06,0.00231346829119059
"FXYD2",137.956575338023,2.93682631423729,0.658903192821135,4.45714385092457,8.3058869670247e-06,0.00950106936759163
"TLE1",169.625979250382,2.84012068348732,0.61884369823506,4.58939905437728,4.44523902731996e-06,0.00610677059264267
"SLC30A4",1326.55745057159,-2.70546071119915,0.613330959047305,-4.4110943223893,1.02849500657738e-05,0.0099578966664243
"SPP1",984.711801959996,-2.40785938812511,0.593444346088337,-4.057430834073,4.96155042186886e-05,0.034080338564437
"Loc_Multi_POM121",614.671313126135,2.35887622953172,0.550828589948877,4.28241429834035,1.84876346997808e-05,0.0152387410285393
"LHFPL2",299.715805204465,-2.26160174616387,0.513157254576419,-4.40722941358529,1.04701275205044e-05,0.0099578966664243
"GAS7",619.728693799731,1.83007608353484,0.453334132759438,4.0369254183337,5.41562759997021e-05,0.0352414840242272
"TTC1",142.013010054312,1.2815410306976,0.259819091377451,4.93243596497629,8.12104071390285e-07,0.00167347578977825
"ZEB2",609.698157460858,1.09245382274391,0.268542548844374,4.06808465714315,4.74011610768538e-05,0.034080338564437
