"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"APLP2",1670.955776274,-1.07492485430636,0.280563394331372,-3.83130827479502,0.000127463679671653,0.0614962306765299
"C15orf48",168.864731761367,-2.95767675564161,0.767236915557777,-3.85497190719948,0.000115742919258568,0.0614962306765299
"CLPTM1",775.426146707854,-0.535269326575073,0.148008344145918,-3.61648074413537,0.00029863552188519,0.0900568193314265
"COMP",214.733975424014,-3.38787266047738,0.895101584367112,-3.78490298715403,0.000153768550528141,0.0678997985260693
"DUX1_DUX5",1072.03921025091,4.84380522392539,0.953292836813505,5.08113041121382,3.75195417656079e-07,0.00115972903597494
"DUX4",1890.90560922995,5.46624489087676,0.943823701418003,5.79159527638929,6.97209890188858e-09,3.21256446786735e-05
"ELOA3",132.87189418637,4.0933233169032,1.10306101752907,3.71087659871485,0.000206542776564113,0.0758167187851515
"FN1",4333.05484471794,-2.23045626848656,0.588673211816235,-3.78895493070753,0.00015128235351635,0.0678997985260693
"FXYD2",137.956575338023,2.93682631423729,0.658903192821135,4.45714385092457,8.3058869670247e-06,0.00950106936759163
"GAGE_Family_2",236.797727295299,3.5179229170319,0.935717551683238,3.75959915543275,0.000170185816861664,0.0686197342874685
"GAS7",619.728693799731,1.83007608353484,0.453334132759438,4.0369254183337,5.41562759997021e-05,0.0352414840242272
"GRIPAP1",889.581626787049,-0.774697051327393,0.215388682438643,-3.59673982196385,0.000322230497051936,0.0948585206083366
"GTF2H3",303.16531303551,1.24886639258634,0.336757734612321,3.70850099114737,0.000208489844604913,0.0758167187851515
"LAT",383.625106120464,1.93312128339178,0.516138409123494,3.74535444218268,0.000180139267550272,0.0696013094997365
"LHFPL2",299.715805204465,-2.26160174616387,0.513157254576419,-4.40722941358529,1.04701275205044e-05,0.0099578966664243
"LIMD1",989.745392788773,1.48832986268332,0.388110736297687,3.83480724311049,0.000125662803736277,0.0614962306765299
"LOC_Multi_3",283.209113771667,4.02965570097445,0.837479270176368,4.8116482932477,1.49690604412202e-06,0.00231346829119059
"Loc_Multi_POM121",614.671313126135,2.35887622953172,0.550828589948877,4.28241429834035,1.84876346997808e-05,0.0152387410285393
"LOC101929601_LOC101929627",1069.58600300446,5.46519601133231,0.882091412214929,6.19572522263789,5.80172651321537e-10,7.17325466093948e-06
"LOC112268387",143.880070862516,4.32572134226794,1.1037721862465,3.91903455818908,8.8904368108657e-05,0.0499642548770652
"LOC112268390_95",253.134061557568,5.44762160427115,1.11384936267632,4.89080641136411,1.0042369592524e-06,0.00177376939488524
"LUM",1320.3950741101,-2.74108356928908,0.744615352569385,-3.68120743123365,0.000232132051398456,0.0797244634302919
"PDIA2",122.026528800032,3.28904821990453,0.920547459851318,3.57292628935803,0.000353014153737525,0.0991969772002444
"RGS1",5883.95387095196,-1.97008419804232,0.534775085614138,-3.68394910503332,0.000229648113607735,0.0797244634302919
"SLC30A4",1326.55745057159,-2.70546071119915,0.613330959047305,-4.4110943223893,1.02849500657738e-05,0.0099578966664243
"SPP1",984.711801959996,-2.40785938812511,0.593444346088337,-4.057430834073,4.96155042186886e-05,0.034080338564437
"ST14",1522.77220031347,-1.34553085523557,0.367077512347799,-3.66552243047976,0.000246834174661595,0.0824826415004312
"TBC1D3",294.141464745106,1.47583869354104,0.41148073543255,3.58665319286366,0.000334949321900461,0.0963096143250535
"TLE1",169.625979250382,2.84012068348732,0.61884369823506,4.58939905437728,4.44523902731996e-06,0.00610677059264267
"TNK2",1129.94521536239,1.03107538059794,0.282734853667413,3.64679262999819,0.000265534045407253,0.0863963930898758
"TTC1",142.013010054312,1.2815410306976,0.259819091377451,4.93243596497629,8.12104071390285e-07,0.00167347578977825
"USP17L_Family",666.248765078142,5.5248276614812,0.95703921419425,5.772833108132,7.79496393044487e-09,3.21256446786735e-05
"USP17L_Family_T2",877.895436776657,4.63581952194871,1.08230078988585,4.28330050691143,1.84141201708889e-05,0.0152387410285393
"USP17L_Family_T3",810.503975584649,4.81696600591972,1.20590524166678,3.99448135681192,6.48360226238914e-05,0.0400816291860896
"USP17L_Family_T4",481.098445065753,4.87366887107937,1.15158519606073,4.23213921796745,2.31479045405255e-05,0.0178875432336911
"USP17L_Family_T5",693.326069571283,4.91555836465899,1.25357179453037,3.92124199515875,8.80937377475983e-05,0.0499642548770652
"USP17L1",417.297481010213,4.88163332148377,1.09616374005833,4.45337967594514,8.45290869002814e-06,0.00950106936759163
"USP18",346.837196079059,2.02885442563091,0.53003815884729,3.82775162837935,0.000129319152182932,0.0614962306765299
"USP47",2409.47977336779,-0.52961712422502,0.146428054906315,-3.61691019227067,0.000298140688088245,0.0900568193314265
"VTI1A",3651.37886638112,-0.914774915692609,0.256573200333214,-3.56535645384857,0.000363361998125124,0.0998357276626452
"ZEB2",609.698157460858,1.09245382274391,0.268542548844374,4.06808465714315,4.74011610768538e-05,0.034080338564437
"ZNF707",147.196206711287,1.32421449885465,0.365286593882923,3.62513851050079,0.000288806618854231,0.0900568193314265
