"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRIM64_Family",63.3713610953673,8.99043771983887,1.66846976797583,5.38843309743994,7.10746106734992e-08,0.00013852441620265
"SERPINB3",25.2301074762678,7.66180176501034,1.96567798811032,3.89779089522995,9.7074180619617e-05,0.0294307343598541
"IL5RA",20.6652994765757,7.3739247640024,1.34986554774784,5.46271054647279,4.68918858215346e-08,0.00013852441620265
"GOLGA8F_GOLGA8G",88.3493340910256,7.3070904949355,1.16076830775954,6.29504651883484,3.07307686239271e-10,4.19259876336237e-06
"PIP",17.942619037691,6.58985560263017,1.47909196229072,4.45533866090667,8.37608670368295e-06,0.00597838357163871
"MUC5B",10.5459945106208,6.40389472570721,1.67093563687474,3.83252028646947,0.000126837136277856,0.0351389005581592
"USP17L_Family_T4",575.11689244552,5.90630330425425,1.41250791993295,4.18143022131486,2.89681154805113e-05,0.0124057550037626
"USP17L_Family_T2",957.015382085358,5.8863689623581,1.08808451596216,5.40984535300825,6.30791962980225e-08,0.00013852441620265
"BMP3",34.9706967082419,5.83943791799378,1.24940607386179,4.67377103422002,2.95719003879944e-06,0.00310345720764159
"DUX4",2555.97928943902,5.62136839988255,1.05097708831071,5.34870689609234,8.85848690635321e-08,0.000151070421079221
"LOC100129307",78.3031351331183,5.61681507958963,1.30966579682078,4.28873922891203,1.79690190179542e-05,0.00845349401592926
"DUX1_DUX5",1615.90414157138,5.34050905756424,1.13982161443866,4.6853902311673,2.79427025573584e-06,0.00310345720764159
"SPDYE3",54.9486389973929,5.31761843884667,1.33362747120992,3.98733420962176,6.68198668944399e-05,0.0222347181473376
"TRIM48",87.1488514644644,5.27644919925682,1.14492409013653,4.60855810853592,4.05471059188595e-06,0.00345740103781875
"PSG2",67.9451059796152,5.17629789681899,1.3347564283273,3.87808426089084,0.000105282255159166,0.0305609746199255
"PRAMEF11",109.501896338014,4.97974595866083,1.20179372248073,4.14359458325484,3.41903961276365e-05,0.0141351386172529
"USP17L_Family_T5",994.799484942298,4.93169011766275,1.06228170299299,4.64254453763785,3.44144424173128e-06,0.00335368741356713
"CARTPT",35.3454429129666,4.82015135465319,1.24279269073657,3.87848382966948,0.000105109511913325,0.0305609746199255
"FDCSP",39.9341499661434,4.79618379115045,1.28579256895373,3.73013805411332,0.000191374881585139,0.0428020903191156
"KRTAP10-_Family",79.8168561660984,4.78368779494103,1.08694105688319,4.40105538809832,1.07725619023664e-05,0.00612375258474937
"LOC112268390_95",431.376106980468,4.72897451978349,1.17235191505727,4.03374998500556,5.4893723240532e-05,0.0205700303710184
"LOC102723407",115.300426520855,4.72295966501473,1.03105056522873,4.58072554760396,4.63365591515914e-06,0.00371864515591271
"LOC101929601_LOC101929627",955.897673195891,4.69063538802783,1.08487046260895,4.3236824576711,1.53446117937198e-05,0.00775357550747108
"USP17L_Family",963.740429652134,4.68941394389204,0.943539679009247,4.97002304006558,6.69449461704176e-07,0.000972712017097573
"SPINK2",49.6219499977849,4.68689730772011,1.22412284848772,3.82878018616374,0.000128779962464851,0.0351389005581592
"DPT",17.5838367671517,4.64012336225048,1.23099549405929,3.76940726805535,0.000163635690332117,0.0378386732745945
"PSG3",70.9734916642403,4.57235236833225,1.1395302299094,4.01248887332792,6.00819117904934e-05,0.021569445155533
"LOC112268387",348.740253743672,4.55025866652622,1.03339983796407,4.4031927424053,1.06669318075243e-05,0.00612375258474937
"LOC_Multi_3",346.751545936272,4.54104409502956,0.841668125608421,5.39529056271075,6.8412750769747e-08,0.00013852441620265
"H1-1",222.437806578973,4.4948747861125,0.973238600085129,4.61847155026458,3.86576968360489e-06,0.00345740103781875
"COMP",29.608127038828,4.46066301344673,1.17219748940657,3.80538523052541,0.000141583654814922,0.0352621991236183
"USP17L_Family_T3",1141.79619373059,4.45586826116642,1.0226013259338,4.35738556968668,1.31625275096589e-05,0.00690678318516447
"LOC101930047",260.867616453339,4.45375253280207,0.975128763083195,4.56734813023056,4.93933299763544e-06,0.0037437400048189
"DNASE1L3",30.9608433049718,4.4516441339449,1.01084663878905,4.40387687224028,1.06333309159298e-05,0.00612375258474937
"USP17L10",191.728474112531,4.38006504838669,0.887913205906258,4.93298784076101,8.09811981866505e-07,0.0010043877153277
"PRAMEF_Family",100.071177645229,4.34466725771295,1.15239075328755,3.77013373746573,0.000163160090994649,0.0378386732745945
"SHISA8",80.4468475700212,4.33330227679563,0.87403810701169,4.95779559498963,7.12975164624769e-07,0.000972712017097573
"CT47_Family",85.2133122896208,4.29840461790957,0.971829790052375,4.42300149872738,9.7339065939098e-06,0.00612375258474937
"TUBB8_TUBB8B",99.1164495442175,3.85125978713357,1.02060515221097,3.77350611917886,0.00016096926937389,0.0378386732745945
"MAD2L1BP",191.646845977263,3.78395136266952,0.958435479038751,3.94805017700783,7.87902929405732e-05,0.0246463194511663
"TRIM49D1",80.4722883608399,3.69764057261376,0.924321248266079,4.00038469260565,6.3239595852915e-05,0.021569445155533
"KLRF1",45.299197662621,3.56031607436591,0.800859980413864,4.44561616442119,8.76403074344164e-06,0.00597838357163871
"LOC107987545",53.0704802774099,3.42391786540753,0.819038179731394,4.18041301387246,2.9098010710284e-05,0.0124057550037626
"EHF",36.2319158708783,3.40952885882379,0.890360297185253,3.82938106023205,0.000128465953888724,0.0351389005581592
"GAGE_Family_2",176.753120215525,3.22519825208398,0.848753046501889,3.79992539099157,0.000144739657767546,0.0352621991236183
"ABCC6",109.826048366248,2.87953488567897,0.719043181766767,4.00467587858025,6.21025719323e-05,0.021569445155533
"LOC101059949",209.219609716347,2.83023388024657,0.649217395704245,4.35945478197861,1.30386891454551e-05,0.00690678318516447
"OSR2",110.388212734086,2.7059713801219,0.685760513731901,3.94594224359177,7.94867738658152e-05,0.0246463194511663
"LOC105376714",58.3596046813284,2.61788597481628,0.635214930328562,4.12126014333792,3.7680564460382e-05,0.0151198806156762
"SLC25A53",92.3464072629775,2.60944063998266,0.686026469896311,3.80370256030655,0.000142549328151868,0.0352621991236183
"CD27",858.233571255542,2.568606211391,0.608503922428108,4.22118266903115,2.43023894379204e-05,0.0110519166367183
"NPIPB2",48.4535409038807,2.29400364927757,0.616668837517647,3.71999282226081,0.000199228439864344,0.0438398968559556
"RPA4",67.7032280730035,2.16735450400819,0.391052530721922,5.54236153390195,2.98419363735173e-08,0.000135711179314632
"PISD",585.094903597306,2.1218671239722,0.348886706039277,6.08182280162122,1.18823849057207e-09,8.10556886343735e-06
"MX1",1300.09964992643,2.10820326057013,0.491201639275347,4.29193042531432,1.77126453498366e-05,0.00845349401592926
"COL15A1",193.546339453039,2.07300655748225,0.563450099412001,3.67913069790134,0.000234030316100989,0.0491211631163967
"LOC101060179",58.2865798283386,1.97036146555495,0.517959460477494,3.80408432686704,0.000142329692363585,0.0352621991236183
"KMO",95.8959968962287,1.82556141925452,0.44863759289719,4.06912271320265,4.71904892245264e-05,0.0183948526997204
"LOC107987269",79.6597831127535,1.74395252388205,0.469816631569169,3.71198549965615,0.000205639770720025,0.0445324347925922
"ZNF497",82.6790692004594,1.49963293203701,0.399366587497368,3.75502853514729,0.000173321730626876,0.0394104728490413
"TOMM22",87.8851247034477,1.24459724069772,0.336218768706606,3.70174825601062,0.000214119011747106,0.0456441512072777
"LOC112694756",127.940118712114,1.11562292302297,0.276832215085259,4.02996061234918,5.57861997894657e-05,0.0205700303710184
"CENPN",70.2255417365966,1.08556499984461,0.284485802908291,3.81588461971354,0.000135695905255606,0.0352621991236183
