"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCC6",109.826048366248,2.87953488567897,0.719043181766767,4.00467587858025,6.21025719323e-05,0.021569445155533
"BCAS4",696.193949316964,1.53526006637247,0.441405428818523,3.47811777141433,0.000504948016940675,0.0801047185479259
"CD247",487.06056873825,2.27036705688788,0.619612200640837,3.66417422791182,0.000248137840933062,0.0505275308037279
"CD27",858.233571255542,2.568606211391,0.608503922428108,4.22118266903115,2.43023894379204e-05,0.0110519166367183
"COL15A1",193.546339453039,2.07300655748225,0.563450099412001,3.67913069790134,0.000234030316100989,0.0491211631163967
"CRNDE",107.521054907145,2.85704861364019,0.816106538834254,3.50082798959222,0.000463815105824778,0.0744450528090287
"CYS1",131.498282787477,2.48907953800679,0.720332368242423,3.45545979570518,0.000549355113616838,0.0861477220123508
"DUX1_DUX5",1615.90414157138,5.34050905756424,1.13982161443866,4.6853902311673,2.79427025573584e-06,0.00310345720764159
"DUX4",2555.97928943902,5.62136839988255,1.05097708831071,5.34870689609234,8.85848690635321e-08,0.000151070421079221
"FKBP14",366.257352930138,1.13690572651425,0.315063770701969,3.60849400101191,0.000307979634725171,0.0567806237372367
"GAGE_Family_2",176.753120215525,3.22519825208398,0.848753046501889,3.79992539099157,0.000144739657767546,0.0352621991236183
"GCH1",1274.06532175846,1.25719347265132,0.34952033598713,3.59691080377543,0.000322018844725024,0.0578066197182039
"H1-1",222.437806578973,4.4948747861125,0.973238600085129,4.61847155026458,3.86576968360489e-06,0.00345740103781875
"ISCA1",1079.88515895525,0.495754876405205,0.129797128340813,3.81945951148845,0.000133744409646893,0.0352621991236183
"LOC_Multi_3",346.751545936272,4.54104409502956,0.841668125608421,5.39529056271075,6.8412750769747e-08,0.00013852441620265
"LOC101059949",209.219609716347,2.83023388024657,0.649217395704245,4.35945478197861,1.30386891454551e-05,0.00690678318516447
"LOC101929601_LOC101929627",955.897673195891,4.69063538802783,1.08487046260895,4.3236824576711,1.53446117937198e-05,0.00775357550747108
"LOC101930047",260.867616453339,4.45375253280207,0.975128763083195,4.56734813023056,4.93933299763544e-06,0.0037437400048189
"LOC101930434",111.416985130295,3.14742639493094,0.881385594091007,3.5709982282805,0.000355623300960336,0.0621232171166244
"LOC102723407",115.300426520855,4.72295966501473,1.03105056522873,4.58072554760396,4.63365591515914e-06,0.00371864515591271
"LOC112268387",348.740253743672,4.55025866652622,1.03339983796407,4.4031927424053,1.06669318075243e-05,0.00612375258474937
"LOC112268390_95",431.376106980468,4.72897451978349,1.17235191505727,4.03374998500556,5.4893723240532e-05,0.0205700303710184
"LOC112694756",127.940118712114,1.11562292302297,0.276832215085259,4.02996061234918,5.57861997894657e-05,0.0205700303710184
"MAD2L1BP",191.646845977263,3.78395136266952,0.958435479038751,3.94805017700783,7.87902929405732e-05,0.0246463194511663
"MX1",1300.09964992643,2.10820326057013,0.491201639275347,4.29193042531432,1.77126453498366e-05,0.00845349401592926
"OSR2",110.388212734086,2.7059713801219,0.685760513731901,3.94594224359177,7.94867738658152e-05,0.0246463194511663
"PISD",585.094903597306,2.1218671239722,0.348886706039277,6.08182280162122,1.18823849057207e-09,8.10556886343735e-06
"PRAMEF_Family",100.071177645229,4.34466725771295,1.15239075328755,3.77013373746573,0.000163160090994649,0.0378386732745945
"PRAMEF11",109.501896338014,4.97974595866083,1.20179372248073,4.14359458325484,3.41903961276365e-05,0.0141351386172529
"RBPJ",3584.83071324725,-0.855200116353914,0.215634922880808,-3.96596295687516,7.31002157401777e-05,0.0237453867462677
"SLC6A16",393.344691477766,1.82859820089686,0.512974594731552,3.56469544433053,0.000364278924674188,0.0621232171166244
"STK36",158.621848516562,1.06577234183942,0.294073913046163,3.62416485977837,0.000289896656077707,0.0549313899842799
"TIGD1",196.534203039878,0.954117693823483,0.265031241108454,3.60001971780016,0.000318193050451552,0.0578066197182039
"USP17L_Family",963.740429652134,4.68941394389204,0.943539679009247,4.97002304006558,6.69449461704176e-07,0.000972712017097573
"USP17L_Family_T2",957.015382085358,5.8863689623581,1.08808451596216,5.40984535300825,6.30791962980225e-08,0.00013852441620265
"USP17L_Family_T3",1141.79619373059,4.45586826116642,1.0226013259338,4.35738556968668,1.31625275096589e-05,0.00690678318516447
"USP17L_Family_T4",575.11689244552,5.90630330425425,1.41250791993295,4.18143022131486,2.89681154805113e-05,0.0124057550037626
"USP17L_Family_T5",994.799484942298,4.93169011766275,1.06228170299299,4.64254453763785,3.44144424173128e-06,0.00335368741356713
"USP17L10",191.728474112531,4.38006504838669,0.887913205906258,4.93298784076101,8.09811981866505e-07,0.0010043877153277
