"","Myeloid dendritic cell activated","B cell","T cell CD4+ memory","T cell CD4+ naive","T cell CD4+ (non-regulatory)","T cell CD4+ central memory","T cell CD4+ effector memory","T cell CD8+ naive","T cell CD8+","T cell CD8+ central memory","T cell CD8+ effector memory","Class-switched memory B cell","Common lymphoid progenitor","Common myeloid progenitor","Myeloid dendritic cell","Endothelial cell","Eosinophil","Cancer associated fibroblast","Granulocyte-monocyte progenitor","Hematopoietic stem cell","Macrophage","Macrophage M1","Macrophage M2","Mast cell","B cell memory","Monocyte","B cell naive","Neutrophil","NK cell","T cell NK","Plasmacytoid dendritic cell","B cell plasma","T cell gamma delta","T cell CD4+ Th1","T cell CD4+ Th2","T cell regulatory (Tregs)","immune score","stroma score","microenvironment score","Group"
"4-B00-15661-B",0.1876863,0.4804702,0.04530772,0.04788627,1.993016e-17,0,2.064835e-18,0,4.594082e-19,0.2317126,3.766704e-19,0.213527,0.07292871,0,0.06256257,0.007611449,0,0.02153191,0,0.01345465,0.05918773,0.0592407,0.00193513,0.001314747,0.2290247,0,0.04582022,0.02492248,5.046208e-18,0,0.07396697,0.03046943,0,0.02740384,0.4242917,7.117511e-18,0.4189718,0.01457168,0.4335435,"DLBCL with CNS inv"
"4-B04-23636-B",0.09897675,0.4414054,3.166359e-19,2.393711e-18,0,0,7.64253e-18,9.752596e-19,0,0.05282674,0,0.1697872,0.04914369,2.339186e-20,0.008259692,0,0,0.005040036,4.647528e-18,0,0.02346187,0.02963034,0.002917695,0.006348536,0.2395544,0,0.08377814,0.006693685,2.856105e-17,0.04098554,0.1199141,0.008784154,2.728502e-19,0.06229976,0.3006889,1.904841e-17,0.3241128,0.002520018,0.3266328,"SCNSL"
"4-B05-15288-B",0.05802303,0.2677986,0.007510953,0,2.721687e-18,1.568635e-17,2.261131e-18,3.655467e-19,1.512638e-17,0.1215628,0,0.09165223,0.02864193,0.01702272,0.002191561,0,0,2.449669e-17,0,0.04983562,0.03411058,0.01488288,0.007948905,0,0.1481994,0,0.05664176,0.006871026,7.529979e-19,0.05958397,0.03933138,0,6.314336e-17,0,0.4547659,1.844164e-17,0.2073145,1.2458e-17,0.2073145,"DLBCL with CNS inv"
"4-B06-00420",0.214126,0.3402744,0.04403403,0.09882233,0,1.492948e-18,0,0,0.0366265,0.2639256,0,0.2690472,0.08710352,6.174492e-20,0.1011009,0,0,0.1231144,3.671635e-18,0.07895279,0.01334151,0.0110533,0.003178251,1.672219e-20,0.1609734,0,0.0099168,0,0,0.02763708,0.07456238,0.04877044,8.419487e-18,0.06242735,0.2701313,1.605525e-17,0.3275622,0.06155718,0.3891194,"DLBCL with CNS inv"
"4-B16-11432",0.08059544,0.6072042,0.00712781,0.03181249,0,0,3.649423e-18,0,3.744704e-18,0.1656487,8.825161e-18,0.294777,0.003255252,4.513624e-18,0.09604497,0.001965191,0,0.002922483,0,0,4.79407e-19,6.996783e-19,0,0.000836458,0.2868164,2.110539e-19,0.06485537,0.003127238,0,0.02271226,0,0.04327565,2.558262e-18,0.02778054,0.2896921,0,0.4714753,0.002443837,0.4739191,"DLBCL with CNS inv"
"4-B20-21840-A2",0,0.3676928,1.156587e-21,0,0,2.506332e-18,3.06225e-17,1.261134e-19,0,0.0902312,2.57023e-18,0.1326615,0.05344869,0,0.02326264,8.173447e-20,0.01334661,0.02134357,4.079686e-17,0.02185754,0.02489777,0.02396416,0.001003441,0.00631505,0.2185123,3.612263e-18,0.0701151,0.007428296,1.374931e-17,0.1630051,0.06281991,0.01962126,0,2.285352e-17,0.2820275,6.473833e-18,0.2952955,0.01726309,0.3125586,"SCNSL"
"4-B19-09868-A4",0.0400866,0.3269164,0.01093417,0.01033764,0,0,0,1.652089e-18,0,0.1003927,0,0.1133751,0.02675838,0.01201434,0.0314301,1.533213e-19,0.03164949,0.05940503,0,0.07788214,0.06563297,0.05928178,0.01937707,0.004903273,0.182225,0.001528148,0.04091779,0.02456193,2.142807e-17,0.168281,0.03375158,0.05262335,0,0,0.1779956,1.608817e-17,0.3244149,0.03847091,0.3628858,"SCNSL"
"12-B17-28608-A1",0.05071742,0.4742386,4.569524e-19,0,0,8.812226e-18,2.471952e-17,0,1.654442e-17,0,0,0.1700217,0.0953725,1.8594e-19,0.02862391,0.01746744,3.364172e-18,0.006863048,0,0.00798248,0.007822424,0.01057161,3.699076e-19,0.006047546,0.2338118,1.237405e-18,0.0778404,0.000237769,0,0,5.332379e-18,4.422477e-19,0,0,0.2854769,4.78401e-17,0.3446468,0.01313652,0.3577833,"DLBCL wo CNS inv"
"3-B10-97",0.008366855,0.4168564,0.008012525,0,0,4.923445e-18,1.80177e-17,0,0,0.03634344,0,0.1203351,0.1326924,0,0.0006304709,0,2.172719e-20,1.626706e-17,3.527832e-17,1.990596e-18,0.01349375,0.02061304,0.002140391,0.002165846,0.2216564,0,0.05951702,2.926854e-19,6.004088e-18,0.05062,0.04758326,0.02798089,0,0,0.4313122,1.253877e-17,0.2887643,8.133532e-18,0.2887643,"PCNSL"
"3-B10-33571",0.001027951,0.4894327,0.009581107,1.215405e-19,0,0,2.300113e-17,9.613999e-19,7.309464e-18,0.2271548,0,0.1948381,0.05911729,0,0.03677831,0,0,0.01210019,1.529427e-17,0.003364776,0.04805319,0.04085389,0.0003616813,0.004699631,0.2559263,0,0.07993226,7.690863e-20,0.009458617,0.04013588,0.0812758,0.03334489,0,0.03570011,0.456726,0,0.3922816,0.006173721,0.3984554,"PCNSL"
"3-B10-35826",0.1990483,0.3846381,0.007934645,0,4.712502e-18,0,7.61984e-18,0,1.296341e-17,0.06770684,7.927079e-18,0.167668,0.06218911,0.00988296,0.1098988,0,7.236822e-19,0.08711977,0,0.1237278,0.01860113,0.02792697,2.697612e-18,0.003006357,0.1629347,5.465787e-18,0.06214392,1.719979e-21,0,0,0.03144309,0.01591567,9.719874e-18,0.0269172,0.2185491,2.36457e-18,0.3440963,0.0444152,0.3885115,"PCNSL"
"3-B11-25341",0.01933567,0.5079282,0.00369745,0,0,2.078595e-17,2.680109e-17,1.649085e-20,5.016791e-19,0.150402,0.003136591,0.1543465,0.02772892,0.02322305,0.02392653,0,0,0.06825552,0,0.02993405,0.04654041,0.04912714,8.831546e-21,0.005300227,0.2387652,8.234787e-18,0.08938396,0.005391637,0,0.01277298,0.01995899,0.01754065,0,0.02588449,0.4248924,5.322456e-17,0.3927246,0.03412776,0.4268524,"PCNSL"
"3-B12-476",3.373853e-18,0.4966743,7.32748e-20,0,6.120199e-19,0,1.450325e-17,0,0,0.01858213,1.983989e-17,0.1957257,0.07741213,6.673625e-20,0,1.52391e-19,0,0.02183093,4.879019e-17,0.005001628,0.01623718,0.01703696,0.006709374,0.007208689,0.2641352,0,0.02980231,0.01574303,0,0.1409559,0.0002830776,0.02888896,2.008186e-17,5.559939e-18,0.2826987,2.414557e-18,0.3572421,0.01119989,0.368442,"PCNSL"
"3-B12-3343",0.01458917,0.3884893,0,7.201109e-20,1.416605e-17,0,3.375824e-18,1.469013e-18,1.392736e-17,0.06868587,0,0.1391658,0.02866177,0,0.03251817,0.001288148,0.01092905,0,0,0,0.02029015,0.02236117,4.081634e-19,0.001398659,0.2334828,3.02234e-17,0.04361789,0,0.008312264,0.1225997,0.03795022,0.01538215,0,1.709744e-21,0.2311727,0,0.3079584,0.001021672,0.3089801,"PCNSL"
"3-B12-28752",0.08034224,0.2094343,0.03220999,0.07892976,0,0,0.02969645,3.571692e-19,0.003606722,0.2064978,0,0.05582147,0,0.006560829,0.02186965,0.0005855528,0.03402761,0.05784119,3.817601e-18,0.107519,0.08064834,0.06041591,0.04153182,0.0009480444,0.1137915,1.281674e-19,0.01969377,1.619085e-21,0.02136808,0.137777,0,0.03539791,0,0,0.08027409,1.375155e-17,0.2479352,0.03918242,0.2871176,"PCNSL"
"3-B14-20920",0.07678144,0.4308435,0,0,0,0,1.847214e-17,8.555042e-19,0,0.03191886,1.092982e-17,0.1907233,0.07760794,0,0.01941903,4.204566e-19,0.008188381,2.011255e-18,4.013714e-17,1.291557e-18,0.0239968,0.02900029,0,1.886322e-21,0.2556852,0,0.06909257,3.299505e-19,0,0.1488065,0.02376005,0,0,0.03152121,0.2101416,2.940964e-18,0.3216318,0.00775149,0.3293833,"PCNSL"
"3-B16-37292",0.1001108,0.3326201,0.05484308,0.08596784,0,0,5.787299e-19,2.139655e-20,0.01222868,0.236795,1.834057e-19,0.1142498,0.03793996,0,0.03206763,6.164606e-19,0.01315436,0.02336543,3.515155e-18,0.01842548,0.06700279,0.05745784,0.02898724,0.001747658,0.1610599,4.531706e-19,0.05832469,0,8.365987e-18,0.1631663,0.09354566,0.03712792,1.671692e-17,0.01006308,0.2064615,0,0.3058808,0.02785182,0.3337326,"PCNSL"
"3-B16-38017",0.07901822,0.350333,0,0.002972873,0,0,2.83191e-17,2.616592e-18,5.693906e-18,0.06891734,9.712406e-18,0.2051329,0.06316192,0,0.02912188,0,0.02044303,0.07888318,0,0,0.06124328,0.0522754,0.01352543,0.002426956,0.2249032,0.006403187,8.938543e-19,0.007762794,1.282294e-17,0.150243,0.008994424,0.03975563,0,0.0325725,0.1323173,1.342994e-18,0.3184894,0.03944159,0.357931,"SCNSL"
"3-B16-39751",0.08841912,0.4816192,0.04014308,0.07735603,5.919137e-18,2.445783e-17,1.174245e-18,2.888815e-19,0.0002215158,0.1579118,0,0.1657423,0.0183557,1.108623e-20,0.02209662,0.0006912763,0,0.08644556,0.006598486,0.04630842,0.03473277,0.02522768,0.002250331,0.008224163,0.1923249,0,0.06930202,0.006473581,1.337665e-17,0.02147293,0.01071656,0.05134019,0,0.007853595,0.2962637,0,0.3689119,0.04426606,0.4131779,"PCNSL"
"3-B17-27564",0.09852958,0.3651009,0.06028698,0.1017672,0,0,0,0,0.009926215,0.2055681,0,0.1437441,0.0600894,0,0.05305202,0.0007038943,0,0.05309418,1.678729e-18,0.04996115,0.03612349,0.03357875,7.593693e-19,0.0005020762,0.1979084,0,0.03991714,0,4.557202e-19,0.1219341,0.0281654,0.02804297,0,0,0.4074355,0,0.3098031,0.02701187,0.336815,"PCNSL"
"3-B19-11332",0,0.432737,2.455381e-20,0,8.808681e-18,1.385887e-17,2.945827e-17,0,6.968868e-18,0.08513787,6.216674e-18,0.1913896,0.03418932,0.02464385,0.003038354,3.480506e-20,0.01462958,0.0580359,0,0.09763518,0.01365091,0.02725678,0.003203249,6.853537e-20,0.2565498,0,0.06112517,0.0003149073,0,0.1621641,0.05666348,0,0,3.081597e-17,0.4336278,8.836156e-18,0.3095805,0.0400787,0.3496592,"PCNSL"
"3-B20-12105",0.06943313,0.4940991,0.0002147237,3.754376e-19,1.018983e-17,2.99546e-18,1.07125e-17,0,0,0.05743551,2.090041e-18,0.1679604,0.08717392,0,0.0243364,0.0007303692,0,0.05705816,4.22504e-17,0,0.03370805,0.04210034,6.496339e-22,0.006826799,0.2360626,4.126232e-17,0.08765154,4.929967e-20,0,0.07128727,0.04716728,0.01543727,0,0.01064284,0.2988066,4.683374e-18,0.3726469,0.02992475,0.4025716,"PCNSL"
